gene,disease
PANK2,Neurodegeneration With Brain Iron Accumulation
PANX1,Inherited Oocyte Maturation Defect
PARK7,Parkinson Disease
PARN,Dyskeratosis Congenita
PARN,Autosomal Recessive Dyskeratosis Congenita
PARN,Diffuse Interstitial Pulmonary Fibrosis
PATL2,Inherited Oocyte Maturation Defect
PAX2,Focal Segmental Glomerulosclerosis
PAX2,Familial Idiopathic Steroid-Resistant Nephrotic Syndrome
PAX2,Inherited Focal Segmental Glomerulosclerosis
PAX2,"Hereditary Nephrotic Syndromes, Autosomal Dominant"
PAX3,Hereditary Hearing Loss And Deafness
PAX6,Anterior Segment Dysgenesis
PAX6,Optic Nerve Hypoplasia
PAX6,Congenital Ocular Coloboma
PAX6,Isolated Aniridia
PAX8,Congenital Hypothyroidism
PC,Mitochondrial Disease
PC,Hereditary Hearing Loss And Deafness
PC,Leigh Syndrome
PCARE,Retinitis Pigmentosa
PCCA,Disorder Of Organic Acid Metabolism
PCCB,Disorder Of Organic Acid Metabolism
PCDH15,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
PCDH15,Usher Syndrome Type 1
PCDH15,Usher Syndrome
PCDH15,Nonsyndromic Genetic Hearing Loss
PCLO,Pontoneocerebellar Hypoplasia
PCSK1,"Monogenic Non-Syndromic Obesity, Autosomal Recessive"
PDCD10,Hereditary Cavernous Hemangioma Of Brain
PDE10A,"Striatal Degeneration, Autosomal Dominant"
PDE6A,Retinitis Pigmentosa
PDE6B,Retinitis Pigmentosa
PDE8B,"Striatal Degeneration, Autosomal Dominant"
PDGFRB,Myofibromatosis
PDGFRB,Infantile Myofibromatosis
PDGFRL,Neoplasm Of The Large Intestine
PDHA1,Mitochondrial Disease
PDHA1,Hereditary Hearing Loss And Deafness
PDHA1,Leigh Syndrome
PDHA1,Pyruvate Dehydrogenase Complex Deficiency
PDHB,Pyruvate Dehydrogenase Complex Deficiency
PDHB,Leigh Syndrome
PDHB,Hereditary Hearing Loss And Deafness
PDHB,Mitochondrial Disease
PDHX,Mitochondrial Disease
PDHX,Hereditary Hearing Loss And Deafness
PDHX,Leigh Syndrome
PDHX,Pyruvate Dehydrogenase Complex Deficiency
PDX1,Neonatal Diabetes Mellitus
PDXK,Hereditary Motor And Sensory Neuropathy With Optic Atrophy
PEX1,"Deafness, Enamel Hypoplasia, Nail Defect Syndrome"
PEX6,"Deafness, Enamel Hypoplasia, Nail Defect Syndrome"
PFKM,Glycogen Storage Disease
PGAM2,Glycogen Storage Disease
PGAP2,Hyperphosphatasia-Intellectual Disability Syndrome
PGAP3,Hyperphosphatasia-Intellectual Disability Syndrome
PGM1,Glycogen Storage Disease
PHB1,Malignant Tumor Of Breast
PHB1,Breast Neoplasm
PHC1,Autosomal Recessive Primary Microcephaly
PHEX,Hypophosphatemic Rickets
PHEX,Rickets
PHEX,Hereditary Hypophosphatemic Rickets
PHKA1,Glycogen Storage Disease
PHKA2,Glycogen Storage Disease
PHKB,Glycogen Storage Disease
PHKG2,Glycogen Storage Disease
PHLDB1,Osteogenesis Imperfecta
PHOX2A,Congenital Fibrosis Of Extraocular Muscles
PHOX2B,Congenital Central Hypoventilation
PHOX2B,Neuroblastoma
PI4KA,Congenital Bilateral Perisylvian Syndrome
PI4KA,Gastrointestinal Defect And Immunodeficiency Syndrome
PIEZO1,Xerocytosis
PIEZO2,Distal Arthrogryposis
PIGA,Multiple Congenital Anomalies-Hypotonia-Seizures Syndrome
PIGN,Multiple Congenital Anomalies-Hypotonia-Seizures Syndrome
PIGO,Hyperphosphatasia-Intellectual Disability Syndrome
PIGQ,Multiple Congenital Anomalies-Hypotonia-Seizures Syndrome
PIGT,Multiple Congenital Anomalies-Hypotonia-Seizures Syndrome
PIGV,Hyperphosphatasia-Intellectual Disability Syndrome
PIGW,Hyperphosphatasia-Intellectual Disability Syndrome
PIGY,Hyperphosphatasia-Intellectual Disability Syndrome
PIK3CA,Neoplasm Of The Large Intestine
PIK3CA,Hereditary Cavernous Hemangioma Of Brain
PIK3CA,Ovarian Neoplasm
PIK3CA,Cerebral Cavernous Malformation
PIK3CA,Neoplasm Of Stomach
PIK3CA,Breast Neoplasm
PIK3CA,Neoplasm Of Lung
PIK3CA,Neoplasm Of The Genitourinary Tract
PIK3CA,Malignant Tumor Of Breast
PIK3CD,Activated Pi3K-Delta Syndrome
PIK3R1,Activated Pi3K-Delta Syndrome
PINK1,Parkinson Disease 6
PINK1,Parkinson Disease
PITX2,Rieger Anomaly
PITX2,Anterior Segment Dysgenesis
PITX3,Anterior Segment Dysgenesis
PJVK,Nonsyndromic Genetic Hearing Loss
PJVK,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
PKD1,Autosomal Dominant Polycystic Kidney Disease
PKD2,Autosomal Dominant Polycystic Kidney Disease
PKHD1,Autosomal Recessive Polycystic Kidney Disease
PKP2,Cardiomyopathy
PLA2G2A,Neoplasm Of The Large Intestine
PLA2G6,Parkinson Disease
PLA2G6,Pla2G6-Associated Neurodegeneration
PLAG1,Russell-Silver Syndrome
PLAGL1,Neonatal Diabetes Mellitus
PLAGL1,Transitory Neonatal Diabetes Mellitus
PLAU,Alzheimer Disease
PLAU,Early-Onset Autosomal Dominant Alzheimer Disease
PLCB4,Auriculocondylar Syndrome
PLCG2,Familial Cold Autoinflammatory Syndrome
PLD1,Cardiac Valvular Defect
PLEC,Autosomal Recessive Limb-Girdle Muscular Dystrophy
PLEC,Limb-Girdle Muscular Dystrophy
PLEKHM1,Autosomal Dominant Osteopetrosis
PLIN1,Familial Partial Lipodystrophy
PLK4,Microcephaly And Chorioretinopathy
PLK4,Autosomal Recessive Chorioretinopathy-Microcephaly Syndrome
PLN,Primary Familial Dilated Cardiomyopathy
PLN,Cardiomyopathy
PLOD1,Kyphoscoliotic Ehlers-Danlos Syndrome
PLPBP,Pyridoxine-Dependent Epilepsy
PLS3,Diaphragmatic Hernia
PLS3,Congenital Diaphragmatic Hernia
PMM2,Congenital Disorder Of Glycosylation
PMP22,Charcot-Marie-Tooth Disease Type 4
PMP22,"Charcot-Marie-Tooth Disease, Type I"
PMS2,Constitutional Mismatch Repair Deficiency Syndrome
PMS2,Turcot Syndrome
PNKD,Paroxysmal Nonkinesigenic Dyskinesia
PNPLA1,Congenital Ichthyosis Of Skin
PNPT1,Combined Oxidative Phosphorylation Deficiency
POF1B,Premature Ovarian Failure
POFUT1,Dowling-Degos Disease
POGLUT1,Dowling-Degos Disease
POLG,Autosomal Dominant Progressive External Ophthalmoplegia
POLH,Xeroderma Pigmentosum
POLR1B,Mandibulofacial Dysostosis
POLR1B,Treacher Collins Syndrome
POLR1C,Treacher Collins Syndrome
POLR1C,Mandibulofacial Dysostosis
POLR1C,Polr-Related Leukodystrophy
POLR1D,Mandibulofacial Dysostosis
POLR1D,Treacher Collins Syndrome
POLR3A,Polr-Related Leukodystrophy
POLR3B,Polr-Related Leukodystrophy
POMC,Obesity
POMC,"Monogenic Non-Syndromic Obesity, Autosomal Recessive"
POMGNT1,Limb-Girdle Muscular Dystrophy
POMGNT1,Muscle Eye Brain Disease
POMGNT1,Autosomal Recessive Limb-Girdle Muscular Dystrophy
POMGNT1,Congenital Muscular Dystrophy
POMT1,Congenital Muscular Dystrophy
POMT1,Neuromuscular Disease Caused By Qualitative Or Quantitative Defects Of Alpha-Dystroglycan
POMT2,Neuromuscular Disease Caused By Qualitative Or Quantitative Defects Of Alpha-Dystroglycan
POMT2,Congenital Muscular Dystrophy
POP1,Anauxetic Dysplasia
POPDC2,Cardiac Conduction Disease With Or Without Cardiomyoopathy
POR,Antley-Bixler Syndrome
POR,Por-Related Disorder
POT1,Coats Plus Syndrome
POU1F1,"Combined Pituitary Hormone Deficiencies, Genetic Form"
POU3F4,Nonsyndromic Genetic Hearing Loss
POU4F3,Nonsyndromic Genetic Hearing Loss
POU4F3,Autosomal Dominant Nonsyndromic Hearing Loss
POU6F2,Kidney Wilms Tumor
POU6F2,Nephroblastoma
POU6F2,Hereditary Wilms Tumor
PPARG,Familial Partial Lipodystrophy
PPARG,Obesity
PPIB,Osteogenesis Imperfecta
PPM1D,Breast Neoplasm
PPM1D,Malignant Tumor Of Breast
PPP1R17,Hyperlipoproteinemia
PPP1R17,Familial Hypercholesterolemia
PPP2CA,Houge-Janssens Syndrome
PPP2R1A,Houge-Janssens Syndrome
PPP2R1B,Neoplasm Of Lung
PPP2R5C,Houge-Janssens Syndrome
PPP2R5D,Houge-Janssens Syndrome
PPT1,Neuronal Ceroid Lipofuscinosis
PPT1,Adult Neuronal Ceroid Lipofuscinosis
PPT1,Juvenile Neuronal Ceroid Lipofuscinosis
PRCC,Neoplasm Of The Genitourinary Tract
PRCD,Retinitis Pigmentosa
PRDM10,Multiple Fibrofolliculomas
PRDM10,Birt-Hogg-Dube Syndrome
PRDM5,Brittle Cornea Syndrome
PRDX1,Methylmalonic Aciduria And Homocystinuria
PRDX1,Disorders Of Intracellular Cobalamin Metabolism
PRDX1,Disorder Of Organic Acid Metabolism
PRF1,Familial Hemophagocytic Lymphohistiocytosis
PRF1,Non-Hodgkin Lymphoma
PRICKLE1,Progressive Myoclonic Epilepsy
PRKAG2,Cardiomyopathy
PRKAR1A,Carney Complex
PRKG1,Familial Thoracic Aortic Aneurysm And Aortic Dissection
PRKN,Ovarian Neoplasm
PRKN,Neoplasm Of The Genitourinary Tract
PRKN,Parkinson Disease
PRKN,Neoplasm Of Lung
PRLR,Hyperprolactinemia
PRNP,Creutzfeldt-Jakob Disease
PROC,Thrombophilia Due To Thrombin Defect
PRODH,Schizophrenia
PROK2,Hypogonadism With Anosmia
PROKR2,Hypogonadism With Anosmia
PROM1,Retinitis Pigmentosa
PROM1,Stargardt Disease
PROP1,"Combined Pituitary Hormone Deficiencies, Genetic Form"
PROS1,Thrombophilia Due To Thrombin Defect
PRPF3,Retinitis Pigmentosa
PRPF31,Retinitis Pigmentosa
PRPF4,Retinitis Pigmentosa
PRPF6,Retinitis Pigmentosa
PRPF8,Retinitis Pigmentosa
PRPH,Amyotrophic Lateral Sclerosis
PRPH2,Vitelliform Macular Dystrophy
PRPH2,Retinitis Pigmentosa
PRPH2,Adult-Onset Foveomacular Vitelliform Dystrophy
PRPS1,Charcot-Marie-Tooth Disease
PRR12,Neuroocular Syndrome
PRRT2,Benign Familial Infantile Epilepsy
PRRT2,Episodic Kinesigenic Dyskinesia
PRRX1,Holoprosencephaly Sequence
PRX,Charcot-Marie-Tooth Disease Type 4
PSAP,Gaucher Disease
PSEN1,Early-Onset Autosomal Dominant Alzheimer Disease
PSEN1,Alzheimer Disease
PSEN1,Cardiomyopathy
PSEN2,Cardiomyopathy
PSEN2,Alzheimer Disease
PSEN2,Early-Onset Autosomal Dominant Alzheimer Disease
PSEN2,Primary Familial Dilated Cardiomyopathy
PTCH2,Glioma
PTEN,Breast Neoplasm
PTEN,Familial Cancer Of Breast
PTEN,Prostate Cancer
PTEN,Neoplasm Of The Genitourinary Tract
PTEN,Pten Hamartoma Tumor Syndrome
PTEN,Malignant Tumor Of Breast
PTGIS,Essential Hypertension
PTPN11,Noonan Syndrome
PTPN11,Noonan Syndrome With Multiple Lentigines
PTPN11,Rasopathy
PTPN12,Neoplasm Of The Large Intestine
PTPRF,Isolated Congenital Breast Hypoplasia/Aplasia
PTPRJ,Neoplasm Of The Large Intestine
PTPRQ,Nonsyndromic Genetic Hearing Loss
PTPRQ,Hereditary Hearing Loss And Deafness
PTPRQ,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
PTRH2,"Neurologic, Endocrine, And Pancreatic Disease, Multisystem, Infantile-Onset"
PUS1,"Myopathy, Lactic Acidosis, And Sideroblastic Anemia"
PXDN,Anterior Segment Dysgenesis
PYCR1,"Cutis Laxa, Autosomal Recessive"
PYGM,Glycogen Storage Disease
QDPR,Phenylketonuria
QDPR,Disorder Of Amino Acid Metabolism
QRICH1,Ververi-Brady Syndrome
RAB18,Warburg Micro Syndrome
RAB33B,Smith-Mccort Dysplasia
RAB39B,Anomaly Of Sex Chromosome
RAB39B,X Chromosome Deletion/Duplication
RAB3GAP1,Warburg Micro Syndrome
RAB3GAP2,Warburg Micro Syndrome
RAB7A,Charcot-Marie-Tooth Disease Type 2
RAD51,Malignant Tumor Of Breast
RAD51,Breast Neoplasm
RAD51C,Breast Neoplasm
RAD51C,Malignant Tumor Of Breast
RAD51C,Familial Cancer Of Breast
RAD51C,Fanconi Anemia
RAD51C,Hereditary Breast Ovarian Cancer Syndrome
RAD51D,Hereditary Breast Ovarian Cancer Syndrome
RAD51D,Familial Cancer Of Breast
RAD51D,Malignant Tumor Of Breast
RAD51D,Breast Neoplasm
RAD54B,Non-Hodgkin Lymphoma
RAD54B,Neoplasm Of The Large Intestine
RAD54L,Non-Hodgkin Lymphoma
RAD54L,Breast Neoplasm
RAD54L,Malignant Tumor Of Breast
RAF1,Noonan Syndrome
RAF1,Noonan Syndrome With Multiple Lentigines
RAF1,Rasopathy
RARS2,Pontoneocerebellar Hypoplasia
RAX2,Age-Related Macular Degeneration
RB1,Neoplasm Of The Genitourinary Tract
RB1,Malignant Tumor Of Retina
RB1CC1,Breast Neoplasm
RB1CC1,Malignant Tumor Of Breast
RBCK1,Polyglucosan Body Myopathy
RBM12,Schizophrenia
RBM20,Cardiomyopathy
RBM20,Primary Familial Dilated Cardiomyopathy
RBPJ,Adams-Oliver Syndrome
RD3,Leber Congenital Amaurosis
RDH12,Leber Congenital Amaurosis
RDH12,Retinitis Pigmentosa
RDX,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
RDX,Nonsyndromic Genetic Hearing Loss
REC114,Inherited Oocyte Maturation Defect
REEP1,Distal Spinal Muscular Atrophy
REEP1,"Neuronopathy, Distal Hereditary Motor, Type 5"
RELN,Lissencephaly
RELN,Malformation Of Cortical Development
RELT,"Amelogenesis Imperfecta, Hypocalcification Type"
RELT,Amelogenesis Imperfecta
REN,Renal Tubular Dysgenesis
REN,Familial Juvenile Gout
REPS1,Neurodegeneration With Brain Iron Accumulation
REST,Hereditary Gingival Fibromatosis
REST,Gingival Overgrowth
REST,Autosomal Dominant Nonsyndromic Hearing Loss
REST,Nonsyndromic Genetic Hearing Loss
REST,Hereditary Hearing Loss And Deafness
RET,"Multiple Endocrine Neoplasia, Type 2"
RET,Aganglionic Megacolon
RFT1,Congenital Disorder Of Glycosylation
RFX5,Mhc Class Ii Deficiency
RFXANK,Mhc Class Ii Deficiency
RFXAP,Mhc Class Ii Deficiency
RGR,Retinitis Pigmentosa
RGS5,Essential Hypertension
RGS9,Bradyopsia
RGS9BP,Bradyopsia
RHO,Retinitis Pigmentosa
RILPL1,Oculopharyngodistal Myopathy
RIPK4,Popliteal Pterygium Syndrome
RIPOR2,Hereditary Hearing Loss And Deafness
RIPOR2,Autosomal Dominant Nonsyndromic Hearing Loss
RIPOR2,Nonsyndromic Genetic Hearing Loss
RIT1,Rasopathy
RIT1,Noonan Syndrome
RLBP1,Retinitis Pigmentosa
RMND1,Combined Oxidative Phosphorylation Deficiency
RMP64,Anauxetic Dysplasia
RMRP,Anauxetic Dysplasia
RNASEH2A,Aicardi Goutieres Syndrome
RNASEH2B,Aicardi Goutieres Syndrome
RNASEH2C,Aicardi Goutieres Syndrome
RNF213,Moyamoya Disease
ROBO2,Familial Vesicoureteral Reflux
ROBO2,Vesicoureteral Reflux
ROBO4,Aortic Valve Disorder
ROR2,Brachydactyly Type B
RP1,Retinitis Pigmentosa
RP2,Retinitis Pigmentosa
RP9,Retinitis Pigmentosa
RPE65,Retinitis Pigmentosa
RPE65,Leber Congenital Amaurosis
RPGR,Retinitis Pigmentosa
RPGRIP1,Leber Congenital Amaurosis
RPGRIP1L,Coach Syndrome
RPGRIP1L,Meckel-Gruber Syndrome
RPL11,Diamond-Blackfan Anemia
RPL15,Diamond-Blackfan Anemia
RPL18,Diamond-Blackfan Anemia
RPL26,Diamond-Blackfan Anemia
RPL27,Diamond-Blackfan Anemia
RPL35A,Diamond-Blackfan Anemia
RPL5,Diamond-Blackfan Anemia
RPS10,Diamond-Blackfan Anemia
RPS15A,Diamond-Blackfan Anemia
RPS17,Diamond-Blackfan Anemia
RPS19,Diamond-Blackfan Anemia
RPS24,Diamond-Blackfan Anemia
RPS26,Diamond-Blackfan Anemia
RPS27,Diamond-Blackfan Anemia
RPS28,Diamond-Blackfan Anemia
RPS29,Diamond-Blackfan Anemia
RPS7,Diamond-Blackfan Anemia
RRM2B,Mitochondrial Disease
RRM2B,"Mitochondrial Dna Depletion Syndrome, Encephalomyopathic Form"
RRM2B,Hereditary Hearing Loss And Deafness
RRM2B,Mitochondrial Dna Deletion Syndromes
RSPH1,Primary Ciliary Dyskinesia
RSPH3,Primary Ciliary Dyskinesia
RSPH4A,Primary Ciliary Dyskinesia
RSPH9,Primary Ciliary Dyskinesia
RSPO2,Tetraamelia-Multiple Malformations Syndrome
RTEL1,Dyskeratosis Congenita
RTEL1,Diffuse Interstitial Pulmonary Fibrosis
RYR1,Rare Disease With Malignant Hyperthermia
RYR1,Congenital Muscular Dystrophy
RYR1,"Malignant Hyperthermia, Susceptibility To"
RYR1,Malignant Hyperthermia
RYR1,Multiminicore Myopathy
RYR2,Cardiac Arrhythmia
RYR2,Genetic Cardiac Rhythm Disease
S1PR2,Nonsyndromic Genetic Hearing Loss
S1PR2,Hereditary Hearing Loss And Deafness
S1PR2,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
SACK1H,"Amelogenesis Imperfecta, Hypocalcification Type"
SACK1H,Amelogenesis Imperfecta
SAG,Retinitis Pigmentosa
SAG,Oguchi Disease
SAMD9,Familial Monosomy 7 Syndrome
SAMD9L,Familial Monosomy 7 Syndrome
SAMHD1,Aicardi Goutieres Syndrome
SASS6,Autosomal Recessive Primary Microcephaly
SBF2,Charcot-Marie-Tooth Disease Type 4
SCN1A,Familial Or Sporadic Hemiplegic Migraine
SCN1A,Familial Hemiplegic Migraine
SCN1B,Brugada Syndrome
SCN2A,Benign Familial Infantile Epilepsy
SCN3B,Brugada Syndrome
SCN4A,Hypokalemic Periodic Paralysis
SCN4A,Mitochondrial Disease
SCN4A,Hereditary Hearing Loss And Deafness
SCN4A,Leigh Syndrome
SCN4B,Congenital Long Qt Syndrome
SCN4B,Long Qt Syndrome
SCN5A,Long Qt Syndrome
SCN5A,Primary Familial Dilated Cardiomyopathy
SCN5A,Brugada Syndrome
SCN5A,Sick Sinus Syndrome
SCN5A,Primary Dilated Cardiomyopathy
SCN5A,Congenital Long Qt Syndrome
SCN5A,Cardiomyopathy
SCN5A,Familial Sick Sinus Syndrome
SCN5A,Paroxysmal Familial Ventricular Fibrillation
SCN8A,Benign Familial Infantile Epilepsy
SCNN1A,Chronic Obstructive Pulmonary Disease
SCNN1A,Idiopathic Bronchiectasis
SCNN1A,Bronchiectasis
SCNN1B,Bronchiectasis
SCNN1B,Idiopathic Bronchiectasis
SCNN1B,Chronic Obstructive Pulmonary Disease
SCNN1G,Chronic Obstructive Pulmonary Disease
SCNN1G,Idiopathic Bronchiectasis
SCNN1G,Bronchiectasis
SCO1,Leigh Syndrome
SCO1,Hereditary Hearing Loss And Deafness
SCO1,Mitochondrial Disease
SCO2,Mitochondrial Disease
SCO2,Hereditary Hearing Loss And Deafness
SCO2,Leigh Syndrome
SCUBE3,"Short Stature, Facial Dysmorphism, And Skeletal Anomalies With Or Without Cardiac Anomalies"
SDC3,Obesity
SDCCAG8,Renal Dysplasia And Retinal Aplasia
SDHA,Primary Dilated Cardiomyopathy
SDHA,Primary Familial Dilated Cardiomyopathy
SDHA,Mitochondrial Disease
SDHA,Paraganglioma
SDHA,Cardiomyopathy
SDHA,Hereditary Hearing Loss And Deafness
SDHA,Leigh Syndrome
SDHAF2,Paraganglioma
SDHB,Paraganglioma
SDHC,Paraganglioma
SDHD,Paraganglioma
SEC23B,Congenital Dyserythropoietic Anemia
SEC61A1,Familial Juvenile Gout
SELENON,Congenital Muscular Dystrophy
SELENON,Rare Disease With Malignant Hyperthermia
SELENON,Rigid Spine Syndrome
SEMA4A,Retinitis Pigmentosa
SEPHS1,Ververi-Brady Syndrome
SEPSECS,Pontoneocerebellar Hypoplasia
SEPSECS,Pontocerebellar Hypoplasia Type 2
SERAC1,3-Methylglutaconic Aciduria
SERPINB6,Nonsyndromic Genetic Hearing Loss
SERPINB6,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
SERPINB6,Hereditary Hearing Loss And Deafness
SERPINB8,Peeling Skin Syndrome
SERPINC1,Thrombophilia Due To Thrombin Defect
SERPINF1,Osteogenesis Imperfecta
SERPING1,Hereditary Angioneurotic Edema
SERPINH1,Osteogenesis Imperfecta
SETX,Amyotrophic Lateral Sclerosis
SETX,"Spinocerebellar Ataxia, Autosomal Recessive, With Axonal Neuropathy"
SF3B2,Craniofacial Microsomia
SFTPA2,Diffuse Interstitial Pulmonary Fibrosis
SFTPB,Hereditary Pulmonary Alveolar Proteinosis
SFTPC,Hereditary Pulmonary Alveolar Proteinosis
SFTPC,Diffuse Interstitial Pulmonary Fibrosis
SFXN4,Combined Oxidative Phosphorylation Deficiency
SGCA,Limb-Girdle Muscular Dystrophy
SGCA,Autosomal Recessive Limb-Girdle Muscular Dystrophy
SGCA,Sarcoglycanopathy
SGCD,Cardiomyopathy
SGCD,Primary Familial Dilated Cardiomyopathy
SGCE,Myoclonus-Dystonia Syndrome
SGCG,Autosomal Recessive Limb-Girdle Muscular Dystrophy
SGCG,Sarcoglycanopathy
SGCG,Limb-Girdle Muscular Dystrophy
SGSH,Sanfilippo Syndrome
SH2B3,Essential Thrombocythemia
SH2B3,Familial Erythrocytosis
SH3TC2,Charcot-Marie-Tooth Disease
SH3TC2,Charcot-Marie-Tooth Disease Type 4
SHANK3,Schizophrenia
SHOC2,Rasopathy
SIGMAR1,Juvenile Amyotrophic Lateral Sclerosis
SIGMAR1,Amyotrophic Lateral Sclerosis
SIK1,Early Myoclonic Encephalopathy
SIX1,Autosomal Dominant Nonsyndromic Hearing Loss
SIX1,Branchiootic Syndrome
SIX1,Nonsyndromic Genetic Hearing Loss
SIX5,Hereditary Hearing Loss And Deafness
SIX6,Anophthalmia-Microphthalmia Syndrome
SLC10A1,"Hypercholanemia, Familial"
SLC11A2,"Anemia, Hypochromic Microcytic With Iron Overload"
SLC11A2,Microcytic Anemia
SLC11A2,Hypochromic Microcytic Anemia
SLC12A1,Antenatal Bartter Syndrome
SLC12A1,Bartter Syndrome
SLC16A1,Familial Hyperinsulinism
SLC17A5,Free Sialic Acid Storage Disease
SLC17A8,Autosomal Dominant Nonsyndromic Hearing Loss
SLC17A8,Nonsyndromic Genetic Hearing Loss
SLC18A2,"Parkinsonism-Dystonia, Infantile"
SLC1A1,Schizophrenia
SLC1A2,Early Myoclonic Encephalopathy
SLC1A3,Hereditary Episodic Ataxia
SLC22A12,"Hypouricemia, Renal"
SLC22A12,Familial Renal Hypouricemia
SLC22A5,Disorder Of Fatty Acid Metabolism
SLC24A4,Amelogenesis Imperfecta
SLC24A4,Amelogenesis Imperfecta Type 2
SLC25A11,Paraganglioma
SLC25A13,Citrin Deficiency
SLC25A20,Disorder Of Fatty Acid Metabolism
SLC25A22,Early Myoclonic Encephalopathy
SLC25A26,Combined Oxidative Phosphorylation Deficiency
SLC25A4,Mitochondrial Dna Depletion Syndrome 12
SLC25A46,Hereditary Motor And Sensory Neuropathy With Optic Atrophy
SLC26A1,"Nephrolithiasis, Calcium Oxalate"
SLC26A2,Atelosteogenesis
SLC26A4,Nonsyndromic Genetic Hearing Loss
SLC26A4,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
SLC26A5,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
SLC26A5,Hereditary Hearing Loss And Deafness
SLC26A5,Nonsyndromic Genetic Hearing Loss
SLC2A1,Glut1 Deficiency Syndrome
SLC2A9,"Hypouricemia, Renal"
SLC2A9,Familial Renal Hypouricemia
SLC30A10,Hypermanganesemia With Dystonia
SLC34A1,Osteoporosis
SLC34A1,"Nephrolithiasis/Osteoporosis, Hypophosphatemic"
SLC35A1,Congenital Disorder Of Glycosylation
SLC35C1,Congenital Disorder Of Glycosylation
SLC35C1,Leukocyte Adhesion Deficiency
SLC37A4,Glycogen Storage Disease
SLC37A4,"Glycogen Storage Disease, Type I"
SLC39A13,Ehlers-Danlos Syndrome Progeroid Type
SLC39A13,Ehlers-Danlos Syndrome
SLC39A14,Hypermanganesemia With Dystonia
SLC40A1,Hereditary Hemochromatosis
SLC45A2,Oculocutaneous Albinism
SLC4A1,Hereditary Spherocytosis
SLC4A1,Inherited Distal Renal Tubular Acidosis
SLC4A1,Distal Renal Tubular Acidosis
SLC4A1,Hereditary Elliptocytosis
SLC4A1,Autosomal Recessive Distal Renal Tubular Acidosis
SLC4A11,Corneal Endothelial Dystrophy
SLC4A11,Corneal Dystrophy
SLC5A2,Renal Glycosuria
SLC5A7,Distal Spinal Muscular Atrophy
SLC67A1,Malignant Tumor Of Breast
SLC67A1,Breast Neoplasm
SLC67A1,Neoplasm Of Lung
SLC6A3,"Parkinsonism-Dystonia, Infantile"
SLC6A3,Nicotine Dependence
SLC6A5,Hereditary Hyperekplexia
SLC7A14,Retinitis Pigmentosa
SLCO1B1,Statin Causing Adverse Effect In Therapeutic Use
SLX4,Fanconi Anemia
SMAD3,Loeys-Dietz Syndrome
SMAD4,Carcinoma Of Pancreas
SMAD4,Hereditary Hemorrhagic Telangiectasia
SMAD6,Aortic Valve Disorder
SMAD9,Idiopathic Pulmonary Arterial Hypertension
SMAD9,Idiopathic And/Or Familial Pulmonary Arterial Hypertension
SMAD9,Heritable Pulmonary Arterial Hypertension
SMAD9,Primary Pulmonary Hypertension
SMARCA4,Rhabdoid Tumor Predisposition Syndrome
SMARCA4,Rhabdoid Tumor
SMARCB1,Rhabdoid Tumor
SMARCB1,Rhabdoid Tumor Predisposition Syndrome
SMN1,Spinal Muscular Atrophy
SMN2,Spinal Muscular Atrophy
SMOC2,Dentin Dysplasia Type I
SMPD1,Ashkenazi Jewish Disorders
SMPD1,Sphingomyelin/Cholesterol Lipidosis
SNCA,Parkinson Disease
SNCAIP,Parkinson Disease
SNRNP200,Retinitis Pigmentosa
SNRPN,Autism Spectrum Disorder
SNTA1,Congenital Long Qt Syndrome
SNTA1,Long Qt Syndrome
SOD1,Amyotrophic Lateral Sclerosis
SOD2,"Microvascular Complications Of Diabetes, Susceptibility"
SOS1,Hereditary Gingival Fibromatosis
SOS1,Gingival Overgrowth
SOS1,Noonan Syndrome
SOS1,Rasopathy
SOST,Sclerosteosis
SOX10,Waardenburg Syndrome Type 2
SOX10,Hereditary Hearing Loss And Deafness
SOX10,Waardenburg-Shah Syndrome
SOX17,Vesicoureteral Reflux
SOX17,Familial Vesicoureteral Reflux
SOX2,Anophthalmia-Microphthalmia Syndrome
SOX9,"46,Xx Testicular Disorder Of Sex Development"
SP7,Osteogenesis Imperfecta
SPAG1,Primary Ciliary Dyskinesia
SPARC,Osteogenesis Imperfecta
SPATA7,Retinitis Pigmentosa
SPATA7,Leber Congenital Amaurosis
SPECC1L,Teebi Hypertelorism Syndrome
SPG11,Amyotrophic Lateral Sclerosis
SPG11,Juvenile Amyotrophic Lateral Sclerosis
SPR,Dopa-Responsive Dystonia
SPRED1,Rasopathy
SPTA1,Hereditary Spherocytosis
SPTA1,Hereditary Elliptocytosis
SPTB,Hereditary Elliptocytosis
SPTB,Hereditary Spherocytosis
SQSTM1,"Paget Disease Of Bone 2, Early-Onset"
SRC,Neoplasm Of The Large Intestine
SRD5A3,Congenital Disorder Of Glycosylation
SREBF1,Ifap Syndrome
SRY,"46,Xx Testicular Disorder Of Sex Development"
