gene,disease
CCNO,Primary Ciliary Dyskinesia
CD19,Common Variable Immunodeficiency
CD2AP,Focal Segmental Glomerulosclerosis
CD2AP,Inherited Focal Segmental Glomerulosclerosis
CD2AP,Familial Idiopathic Steroid-Resistant Nephrotic Syndrome
CD2AP,"Hereditary Nephrotic Syndromes, Autosomal Dominant"
CD46,Atypical Hemolytic-Uremic Syndrome
CD46,Hemolytic-Uremic Syndrome
CD81,Common Variable Immunodeficiency
CDAN1,Congenital Dyserythropoietic Anemia
CDC14A,Nonsyndromic Genetic Hearing Loss
CDC14A,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
CDC14A,Hereditary Hearing Loss And Deafness
CDC20,Inherited Oocyte Maturation Defect
CDC45,Meier-Gorlin Syndrome
CDC6,Meier-Gorlin Syndrome
CDCA7,"Centromeric Instability Of Chromosomes 1,9 And 16 And Immunodeficiency"
CDH1,Malignant Tumor Of Breast
CDH1,Neoplasm Of The Genitourinary Tract
CDH1,Breast Neoplasm
CDH1,Endometrial Cancer
CDH1,Ovarian Neoplasm
CDH11,Teebi Hypertelorism Syndrome
CDH23,Usher Syndrome Type 1
CDH23,Usher Syndrome
CDH23,Nonsyndromic Genetic Hearing Loss
CDH23,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
CDIN1,"Congenital Dyserythropoietic Anemia, Type I"
CDIN1,Congenital Dyserythropoietic Anemia
CDK4,Familial Melanoma
CDK4,Melanoma
CDK4,Malignant Melanoma Of Skin
CDK5RAP2,Autosomal Recessive Primary Microcephaly
CDK6,Autosomal Recessive Primary Microcephaly
CDKN2A,Familial Melanoma
CDKN2A,Melanoma
CDKN2A,Familial Atypical Multiple Mole Melanoma Syndrome
CDKN2A,Malignant Melanoma Of Skin
CDSN,Peeling Skin Syndrome
CDT1,Meier-Gorlin Syndrome
CENPE,Autosomal Recessive Primary Microcephaly
CENPF,Primary Ciliary Dyskinesia
CEP135,Autosomal Recessive Primary Microcephaly
CEP152,Autosomal Recessive Primary Microcephaly
CEP250,Cone-Rod Dystrophy And Hearing Loss
CEP290,Bardet-Biedl Syndrome
CEP290,Joubert Syndrome
CEP290,Leber Congenital Amaurosis
CEP290,Meckel-Gruber Syndrome
CEP290,Renal Dysplasia And Retinal Aplasia
CEP57,Mosaic Variegated Aneuploidy Syndrome
CEP78,Cone-Rod Dystrophy And Hearing Loss
CERKL,Retinitis Pigmentosa
CERS3,Congenital Ichthyosis Of Skin
CFAP298,Primary Ciliary Dyskinesia
CFAP300,Primary Ciliary Dyskinesia
CFAP410,Spondylometaphyseal Dysplasia
CFAP410,Type 2 Collagenopathy
CFB,Atypical Hemolytic-Uremic Syndrome
CFB,Hemolytic-Uremic Syndrome
CFB,Age-Related Macular Degeneration
CFC1,Transposition Of The Great Arteries
CFH,Age-Related Macular Degeneration
CFH,Hemolytic-Uremic Syndrome
CFH,Atypical Hemolytic-Uremic Syndrome
CFHR1,Atypical Hemolytic-Uremic Syndrome
CFHR1,Hemolytic-Uremic Syndrome
CFHR1,Age-Related Macular Degeneration
CFHR3,Age-Related Macular Degeneration
CFHR3,Hemolytic-Uremic Syndrome
CFHR3,Atypical Hemolytic-Uremic Syndrome
CFHR4,Hemolytic-Uremic Syndrome
CFI,Hemolytic-Uremic Syndrome
CFI,Atypical Hemolytic-Uremic Syndrome
CFI,Age-Related Macular Degeneration
CFL2,Nemaline Myopathy
CFTR,Bronchiectasis
CFTR,Idiopathic Bronchiectasis
CFTR,Chronic Obstructive Pulmonary Disease
CFTR,Ashkenazi Jewish Disorders
CHD2,Epilepsy With Myoclonic Atonic Seizures
CHD7,Charge Syndrome
CHD7,Hypogonadism With Anosmia
CHD7,Chd7 Disorder
CHEK2,Breast Neoplasm
CHEK2,Neoplasm Of The Genitourinary Tract
CHEK2,Familial Cancer Of Breast
CHEK2,Prostate Cancer
CHEK2,Malignant Tumor Of Breast
CHEK2,Li-Fraumeni Syndrome
CHMP1A,Pontoneocerebellar Hypoplasia
CHRDL1,Megalocornea
CHRNA2,Autosomal Dominant Nocturnal Frontal Lobe Epilepsy
CHRNA2,Sleep-Related Hypermotor Epilepsy
CHRNA2,Familial Sleep-Related Hypermotor Epilepsy
CHRNA4,Familial Sleep-Related Hypermotor Epilepsy
CHRNA4,Sleep-Related Hypermotor Epilepsy
CHRNA4,Autosomal Dominant Nocturnal Frontal Lobe Epilepsy
CHRNA4,Nicotine Dependence
CHRNB2,Autosomal Dominant Nocturnal Frontal Lobe Epilepsy
CHRNB2,Sleep-Related Hypermotor Epilepsy
CHRNB2,Familial Sleep-Related Hypermotor Epilepsy
CIB2,Nonsyndromic Genetic Hearing Loss
CIB2,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
CIB2,Hereditary Hearing Loss And Deafness
CIDEC,Familial Partial Lipodystrophy
CIITA,Mhc Class Ii Deficiency
CISD2,Wolfram Syndrome
CISD2,Nonsyndromic Genetic Hearing Loss
CISD2,Autosomal Dominant Nonsyndromic Hearing Loss 6
CISD2,Autosomal Dominant Nonsyndromic Hearing Loss
CISD2,Hereditary Hearing Loss And Deafness
CLCF1,Cold-Induced Sweating Syndrome
CLCN1,Congenital Myopathy
CLCN2,Idiopathic Generalized Epilepsy
CLCN2,Juvenile Myoclonic Epilepsy
CLCN2,Familial Hyperaldosteronism
CLCN5,Rickets
CLCN5,Hypophosphatemic Rickets
CLCN5,Hereditary Hypophosphatemic Rickets
CLCN5,Dent Disease
CLCN7,Autosomal Dominant Osteopetrosis
CLCNKA,Bartter Syndrome
CLCNKB,Bartter Syndrome
CLDN14,Nonsyndromic Genetic Hearing Loss
CLDN14,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
CLIC2,Anomaly Of Sex Chromosome
CLIC2,X Chromosome Deletion/Duplication
CLMP,Congenital Short Bowel Syndrome
CLN3,Neuronal Ceroid Lipofuscinosis
CLN3,Juvenile Neuronal Ceroid Lipofuscinosis
CLN5,Neuronal Ceroid Lipofuscinosis
CLN6,Neuronal Ceroid Lipofuscinosis
CLN6,Adult Neuronal Ceroid Lipofuscinosis
CLN8,Neuronal Ceroid Lipofuscinosis
CLN8,Juvenile Neuronal Ceroid Lipofuscinosis
CLP1,Pontoneocerebellar Hypoplasia
CLPB,3-Methylglutaconic Aciduria
CLPP,Perrault Syndrome
CLPP,Nonsyndromic Genetic Hearing Loss
CLPP,Hereditary Hearing Loss And Deafness
CLPP,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
CLRN1,Hereditary Hearing Loss And Deafness
CLRN1,Usher Syndrome Type 3
CLRN1,Usher Syndrome
CNGB1,Retinitis Pigmentosa
CNTNAP1,Congenital Hypomyelinating Neuropathy
COA7,"Spinocerebellar Ataxia, Autosomal Recessive, With Axonal Neuropathy"
COCH,Nonsyndromic Genetic Hearing Loss
COCH,Autosomal Dominant Nonsyndromic Hearing Loss
COG1,Congenital Disorder Of Glycosylation
COG4,Congenital Disorder Of Glycosylation
COG5,Congenital Disorder Of Glycosylation
COG6,Congenital Disorder Of Glycosylation
COG7,Congenital Disorder Of Glycosylation
COG8,Congenital Disorder Of Glycosylation
COL11A1,Stickler Syndrome
COL11A1,Hereditary Hearing Loss And Deafness
COL11A2,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
COL11A2,Stickler Syndrome
COL11A2,Autosomal Dominant Nonsyndromic Hearing Loss
COL11A2,Nonsyndromic Genetic Hearing Loss
COL12A1,Ullrich Congenital Muscular Dystrophy
COL12A1,Bethlem Myopathy
COL17A1,Junctional Epidermolysis Bullosa
COL18A1,Knobloch Syndrome
COL1A1,Ehlers-Danlos Syndrome
COL2A1,Familial Avascular Necrosis Of The Femoral Head
COL2A1,Stickler Syndrome
COL2A1,Avascular Necrosis Of The Head Of Femur
COL2A1,Spondylometaphyseal Dysplasia
COL2A1,Hereditary Hearing Loss And Deafness
COL3A1,Familial Aortopathy
COL3A1,Ehlers-Danlos Syndrome
COL4A3,Alport Syndrome
COL4A3,Hereditary Hearing Loss And Deafness
COL4A3,Benign Familial Hematuria
COL4A4,Benign Familial Hematuria
COL4A4,Hereditary Hearing Loss And Deafness
COL4A4,Alport Syndrome
COL4A5,Alport Syndrome
COL4A5,Hereditary Hearing Loss And Deafness
COL5A1,"Ehlers-Danlos Syndrome, Classic Type"
COL5A1,Ehlers-Danlos Syndrome
COL5A2,Ehlers-Danlos Syndrome
COL5A2,"Ehlers-Danlos Syndrome, Classic Type"
COL6A1,Ullrich Congenital Muscular Dystrophy
COL6A1,Collagen 6-Related Myopathy
COL6A1,Congenital Muscular Dystrophy
COL6A1,Bethlem Myopathy
COL6A2,Bethlem Myopathy
COL6A2,Ullrich Congenital Muscular Dystrophy
COL6A3,Ullrich Congenital Muscular Dystrophy
COL6A3,Bethlem Myopathy
COL8A2,Corneal Dystrophy
COL8A2,Corneal Endothelial Dystrophy
COL8A2,Posterior Polymorphous Corneal Dystrophy
COL9A1,Stickler Syndrome
COL9A1,Hereditary Hearing Loss And Deafness
COL9A2,Hereditary Hearing Loss And Deafness
COL9A2,Stickler Syndrome
COL9A3,Stickler Syndrome
COL9A3,Hereditary Hearing Loss And Deafness
COPA,Autoimmune Interstitial Lung Disease-Arthritis Syndrome
COX10,Mitochondrial Disease
COX10,Hereditary Hearing Loss And Deafness
COX10,Leigh Syndrome
COX15,Hereditary Hearing Loss And Deafness
COX15,Mitochondrial Disease
COX6B1,Mitochondrial Disease
COX6B1,Hereditary Hearing Loss And Deafness
COX7B,Linear Skin Defects With Multiple Congenital Anomalies
CPAMD8,Anterior Segment Dysgenesis
CPAP,Autosomal Recessive Primary Microcephaly
CPT1A,Disorder Of Fatty Acid Metabolism
CPT2,Disorder Of Fatty Acid Metabolism
CR2,Systemic Lupus Erythematosus
CR2,Common Variable Immunodeficiency
CRAT,Neurodegeneration With Brain Iron Accumulation
CRB1,Leber Congenital Amaurosis
CRB1,Retinitis Pigmentosa
CRB2,"Hereditary Nephrotic Syndromes, Autosomal Dominant"
CRB2,Focal Segmental Glomerulosclerosis
CRB2,Familial Idiopathic Steroid-Resistant Nephrotic Syndrome
CRB2,Inherited Focal Segmental Glomerulosclerosis
CREB3L1,Osteogenesis Imperfecta
CREBBP,Rubinstein-Taybi Syndrome
CREBBP,Menke-Hennekam Syndrome
CRELD1,Familial Atrioventricular Septal Defect
CRLF1,Cold-Induced Sweating Syndrome
CRTAP,Osteogenesis Imperfecta
CRX,Leber Congenital Amaurosis
CRYAB,Primary Familial Dilated Cardiomyopathy
CRYAB,Primary Dilated Cardiomyopathy
CRYAB,Myofibrillar Myopathy
CRYAB,Cardiomyopathy
CSF2RA,Hereditary Pulmonary Alveolar Proteinosis
CSRP3,Cardiomyopathy
CSRP3,Primary Familial Dilated Cardiomyopathy
CST3,Age-Related Macular Degeneration
CST6,Autosomal Recessive Hypohidrotic Ectodermal Dysplasia Syndrome
CSTA,Peeling Skin Syndrome
CSTB,Progressive Myoclonic Epilepsy
CTC1,Coats Plus Syndrome
CTNNB1,Neoplasm Of The Large Intestine
CTNNB1,Ovarian Neoplasm
CTNNB1,Glioma
CTNNB1,Neoplasm Of The Genitourinary Tract
CTSC,"Periodontitis, Aggressive"
CTSC,Chronic Periodontitis
CTSD,Adult Neuronal Ceroid Lipofuscinosis
CTSD,Neuronal Ceroid Lipofuscinosis
CTSF,Adult Neuronal Ceroid Lipofuscinosis
CUL3,Pseudohypoaldosteronism Type 2A
CUL7,3-M Syndrome
CX3CR1,Age-Related Macular Degeneration
CYB5A,Hereditary Methemoglobinemia
CYB5R3,Hereditary Methemoglobinemia
CYBA,Chronic Granulomatous Disease
CYBB,Chronic Granulomatous Disease
CYLD,Familial Multiple Trichoepitheliomata
CYP11B1,Familial Hyperaldosteronism
CYP11B1,Congenital Adrenal Hyperplasia
